ICAO,MOF,N,N_VALID,TXOT,REF,ADD_TXOT,AVG_ADD_TXOT
SBGL,2021-08-01T00:00:00Z,1157,1157,19145.9,16009.499999999774,3973.8100000000018,3.4345808124459825
SBGL,2021-09-01T00:00:00Z,1420,1420,23605.599999999933,19637.700000000084,4921.229999999999,3.4656549295774637
SBGL,2021-10-01T00:00:00Z,1337,1337,21643.199999999997,18325.59999999995,4248.660000000004,3.177756170531043
SBGL,2021-11-01T00:00:00Z,1348,1348,21190.100000000028,18593.799999999977,3669.3199999999983,2.722047477744806
SBGL,2021-12-01T00:00:00Z,1735,1735,28836.19999999995,23930.9000000005,6104.989999999992,3.518726224783857
SBGL,2022-01-01T00:00:00Z,1796,1796,30194.699999999953,24800.800000000574,6650.019999999995,3.702683741648104
SBGL,2022-02-01T00:00:00Z,1426,1426,23123.399999999965,19700.30000000002,4907.25,3.4412692847124826
SBGL,2022-03-01T00:00:00Z,1483,1483,24101.40000000005,20318.600000000195,5168.549999999993,3.485198921105862
SBGL,2022-04-01T00:00:00Z,1024,1024,15703.000000000036,14174.79999999979,2833.4800000000005,2.7670703125000005
SBGL,2022-05-01T00:00:00Z,1003,1003,15754.899999999983,14239.500000000038,2832.9900000000016,2.8245164506480576
SBGL,2022-06-01T00:00:00Z,982,982,14592.699999999988,13604.299999999796,2428.239999999997,2.4727494908350276
SBGR,2019-01-01T00:00:00Z,12096,12096,205573.79999999944,138806.5999999985,72450.06000000011,5.989588293650803
SBGR,2019-02-01T00:00:00Z,10496,10496,179951.2999999996,123244.79999999856,61600.82999999991,5.868981516768284
SBGR,2019-03-01T00:00:00Z,11035,11035,176714.6,122930.1999999985,58935.22000000009,5.340753964657915
SBGR,2019-04-01T00:00:00Z,10331,10331,165439.0000000001,116289.09999999887,53270.2300000001,5.156347885006301
SBGR,2019-05-01T00:00:00Z,9470,9470,141564.89999999985,107825.49999999971,37639.28999999997,3.974581837381201
SBGR,2019-06-01T00:00:00Z,9513,9513,140939.29999999993,106769.79999999952,38063.77999999985,4.001238305476701
SBGR,2019-07-01T00:00:00Z,11201,11201,170203.40000000037,123919.99999999843,49896.10999999985,4.454612088206397
