ICAO,YEAR,PHASE,SLOT2,N,FLIGHTS,N_VALID,SHARE,LABEL
SBGR,2019,DEP,WITHIN_5,58886,58886,136232,0.4322479300017617,WITHIN_5-43.2%
SBGR,2019,DEP,LATE_0515,20197,20197,136232,0.14825444829408657,LATE_0515-14.8%
SBGR,2019,DEP,LATE,23287,23287,136232,0.17093634388396264,LATE-17.1%
SBGR,2020,ARR,EARLY,28261,28261,72845,0.38796073855446495,EARLY-38.8%
SBGR,2020,ARR,EARLY_1505,19615,19615,72845,0.2692703685908436,EARLY_1505-26.9%
SBGR,2020,ARR,WITHIN_5,11228,11228,72845,0.15413549317043038,WITHIN_5-15.4%
SBGR,2020,ARR,LATE_0515,5572,5572,72845,0.07649117990253278,LATE_0515-7.6%
SBGR,2020,ARR,LATE,8169,8169,72845,0.11214221978172832,LATE-11.2%
SBGR,2020,DEP,EARLY,1178,1178,73106,0.016113588487949006,EARLY-1.6%
SBGR,2020,DEP,EARLY_1505,21331,21331,73106,0.29178179629578965,EARLY_1505-29.2%
SBGR,2020,DEP,WITHIN_5,30819,30819,73106,0.4215659453396438,WITHIN_5-42.2%
SBGR,2020,DEP,LATE_0515,8856,8856,73106,0.12113916778376604,LATE_0515-12.1%
SBGR,2020,DEP,LATE,10922,10922,73106,0.14939950209285147,LATE-14.9%
SBGR,2021,ARR,EARLY,32235,32235,85358,0.3776447433163851,EARLY-37.8%
SBGR,2021,ARR,EARLY_1505,24317,24317,85358,0.28488249490381684,EARLY_1505-28.5%
SBGR,2021,ARR,WITHIN_5,13112,13112,85358,0.15361184657559923,WITHIN_5-15.4%
SBGR,2021,ARR,LATE_0515,6280,6280,85358,0.07357248295414606,LATE_0515-7.4%
SBGR,2021,ARR,LATE,9414,9414,85358,0.11028843225005272,LATE-11%
SBGR,2021,DEP,EARLY,730,730,86914,0.008399107163402903,EARLY-0.8%
SBGR,2021,DEP,EARLY_1505,19060,19060,86914,0.21929723634857445,EARLY_1505-21.9%
SBGR,2021,DEP,WITHIN_5,46865,46865,86914,0.5392111742642152,WITHIN_5-53.9%
SBGR,2021,DEP,LATE_0515,6674,6674,86914,0.07678854960075476,LATE_0515-7.7%
SBGR,2021,DEP,LATE,13585,13585,86914,0.15630393262305267,LATE-15.6%
SBGR,2022,ARR,EARLY,18714,18714,52715,0.3550033197382149,EARLY-35.5%
SBGR,2022,ARR,EARLY_1505,15843,15843,52715,0.30054064308071704,EARLY_1505-30.1%
SBGR,2022,ARR,WITHIN_5,8736,8736,52715,0.1657213316892725,WITHIN_5-16.6%
SBGR,2022,ARR,LATE_0515,3837,3837,52715,0.0727876316039078,LATE_0515-7.3%
SBGR,2022,ARR,LATE,5585,5585,52715,0.1059470738878877,LATE-10.6%
SBGR,2022,DEP,EARLY,303,303,61634,0.004916117727228478,EARLY-0.5%
SBGR,2022,DEP,EARLY_1505,7777,7777,61634,0.12618035499886426,EARLY_1505-12.6%
SBGR,2022,DEP,WITHIN_5,37533,37533,61634,0.6089658305480741,WITHIN_5-60.9%
SBGR,2022,DEP,LATE_0515,6146,6146,61634,0.09971768828893143,LATE_0515-10%
SBGR,2022,DEP,LATE,9875,9875,61634,0.1602200084369017,LATE-16%
SBKP,2019,ARR,EARLY,10748,10748,53509,0.20086340615597376,EARLY-20.1%
SBKP,2019,ARR,EARLY_1505,16614,16614,53509,0.31048982414173315,EARLY_1505-31%
SBKP,2019,ARR,WITHIN_5,12393,12393,53509,0.23160589807322132,WITHIN_5-23.2%
SBKP,2019,ARR,LATE_0515,5745,5745,53509,0.10736511614868527,LATE_0515-10.7%
SBKP,2019,ARR,LATE,8009,8009,53509,0.14967575548038647,LATE-15%
SBKP,2019,DEP,EARLY,519,519,54177,0.009579710947450025,EARLY-1%
SBKP,2019,DEP,EARLY_1505,5460,5460,54177,0.10078077412924304,EARLY_1505-10.1%
SBKP,2019,DEP,WITHIN_5,24407,24407,54177,0.4505048267715082,WITHIN_5-45.1%
SBKP,2019,DEP,LATE_0515,12252,12252,54177,0.22614762722188383,LATE_0515-22.6%
SBKP,2019,DEP,LATE,11539,11539,54177,0.2129870609299149,LATE-21.3%
SBKP,2020,ARR,EARLY,12025,12025,34078,0.3528669522859323,EARLY-35.3%
SBKP,2020,ARR,EARLY_1505,10249,10249,34078,0.3007512177944715,EARLY_1505-30.1%
SBKP,2020,ARR,WITHIN_5,5622,5622,34078,0.16497447033276602,WITHIN_5-16.5%
SBKP,2020,ARR,LATE_0515,2463,2463,34078,0.07227536827278597,LATE_0515-7.2%
