AIRPORT,DATE,PHASE,FLIGHTS,TOT_TAXI,TOT_REF,TOT_ADD,AVG_ADD
EHAM,2020-07,DEP,8630,89004.3666666667,73049.0701877855,15855.6631455478,1.83727267039952
EHAM,2020-08,DEP,12311,130587.983333333,107125.466616173,23383.6500504934,1.8994110998695
EHAM,2020-09,DEP,11739,129053.316666667,103509.628825746,25444.371174254,2.16750755381668
EHAM,2020-10,DEP,10347,107247.216666667,83823.3476905061,23416.5689761605,2.26312641114918
EHAM,2020-11,DEP,7882,78873.9333333333,62245.9070730312,16572.4762603022,2.10257247656714
EHAM,2020-12,DEP,8485,90770.25,68302.9469335703,22462.5030664297,2.64731915927279
EHAM,2021-01,DEP,7500,99785.55,70941.5542941548,28731.6957058452,3.83089276077936
EHAM,2021-02,DEP,5747,75679.4833333333,46703.8252435268,26950.8914231398,4.68955827790844
EHAM,2021-03,DEP,6677,72129.6666666667,52187.3286087115,19853.4346084272,2.97340641132652
EHAM,2021-04,DEP,7447,90761.15,62663.3188320061,27971.0978346606,3.75602226865323
EHAM,2021-05,DEP,8528,86846.8,68454.4091417533,18364.2075249133,2.15340144522905
EHAM,2021-06,DEP,10478,133373.683333333,104533.674828942,28787.2751710576,2.74740171512288
EHAM,2021-07,DEP,15455,180407.483333333,141751.79301596,38300.6569840397,2.47820491646973
EHAM,2021-08,DEP,16761,193184.116666667,150491.024807419,42292.7251925805,2.52328173692384
EHAM,2021-09,DEP,16177,188848.533333333,145993.471714099,42702.4616192341,2.63970214620969
EHAM,2021-10,DEP,16733,193896.15,143154.728900133,49974.5544332007,2.98658665112058
EHAM,2021-11,DEP,15047,178480,133860.493391495,44486.823275172,2.95652444176062
EHAM,2021-12,DEP,15884,190215.833333333,134508.539423503,55502.473793636,3.49423783641627
LEMD,2019-01,DEP,16396,270554.7,205193.371756867,64560.7115764665,3.93758914225827
LEMD,2019-02,DEP,15035,246064.833333333,190250.430814332,55194.7025190013,3.67108097898246
LEMD,2019-03,DEP,17075,286599.816666667,204721.440528892,81008.9761377744,4.7443031413045
LEMD,2019-04,DEP,17352,288568.633333333,219121.312554678,69140.3541119885,3.98457550207403
LEMD,2019-05,DEP,18551,306347.4,235138.023782627,70684.6428840397,3.81028747151311
LEMD,2019-06,DEP,18896,317582.133333333,236081.613821664,80592.0361783361,4.26503155050466
LEMD,2019-07,DEP,19390,324277.816666667,241662.403606061,82110.829727272,4.23469983121568
LEMD,2019-08,DEP,18472,307233.866666667,230363.734660045,76430.2153399553,4.13762534321975
LEMD,2019-09,DEP,18516,310117.316666667,233349.052456303,76550.7142103637,4.13430083227283
LEMD,2019-10,DEP,18526,302935.983333333,233040.384802238,69635.1318644283,3.75877857413518
LEMD,2019-11,DEP,16080,267133.333333333,200123.588845972,66399.1444873618,4.12930003030857
LEMD,2019-12,DEP,17041,285030.766666667,212867.698044876,71760.0019551244,4.21102059474939
LEMD,2020-01,DEP,16574,271734.7,207640.6657974,63743.6008692665,3.84599981110574
LEMD,2020-02,DEP,15556,249680.05,195982.309659587,53438.6236737463,3.43524194354245
LEMD,2020-03,DEP,9843,158733.466666667,120247.281504135,38314.7684958651,3.89259052076248
LEMD,2020-04,DEP,1240,16117.2666666667,13507.1027565324,2574.66391013429,2.07634186301152
LEMD,2020-05,DEP,1479,19686.0833333333,16027.712850179,3529.18714982104,2.38619820812781
LEMD,2020-06,DEP,1852,24623.2666666667,20432.0134746611,3990.15319200552,2.15451036285395
LEMD,2020-07,DEP,5327,81529.45,65427.947992885,14928.7186737817,2.80246267576153
LEMD,2020-08,DEP,7556,113337.466666667,91207.3059389179,22040.4578291981,2.91694783340366
LEMD,2020-09,DEP,6190,89214.9833333333,75118.0654619009,13964.9512047658,2.25605027540643
LEMD,2020-10,DEP,5649,80633.65,67878.4181341125,12648.6485325542,2.23909515534682
LEMD,2020-11,DEP,4958,71075.7,58927.6121392884,12049.8378607116,2.43038278755781
LEMD,2020-12,DEP,6031,86879.3,71050.8939054497,15748.2060945503,2.61120976530431
LEMD,2021-01,DEP,4952,86008.1333333333,55057.8181807301,30744.5151526032,6.20850467540453
LEMD,2021-02,DEP,4792,68182.7,55971.550238553,12073.549761447,2.51952207041883
LEMD,2021-03,DEP,5587,83229.15,65800.825790311,17253.6408763556,3.08817627999922
