ICAO,MOF,N,N_VALID,TXIT,REF,ADD_TXIT,AVG_ADD_TXIT
SBKP,2021-02-01T00:00:00Z,3443,3443,21262.50000000001,13763.50000000007,7711.199999999997,2.2396747022945096
SBKP,2021-03-01T00:00:00Z,3688,3688,23024.399999999965,14606.000000000058,8636.799999999988,2.341865509761385
SBKP,2021-04-01T00:00:00Z,3054,3054,18343.6,13026.900000000023,5533.740000000002,1.8119646365422402
SBKP,2021-05-01T00:00:00Z,3571,3571,21330.19999999997,14495.300000000076,7079.050000000011,1.9823718846261582
SBKP,2021-06-01T00:00:00Z,3774,3774,22130.500000000015,15488.10000000012,6959.900000000004,1.8441706412294658
SBKP,2021-07-01T00:00:00Z,4173,4173,23424.60000000005,16924.900000000107,7058.089999999993,1.6913707165109018
SBKP,2021-08-01T00:00:00Z,4600,4600,28075.399999999983,18952.100000000315,9412.350000000008,2.0461630434782627
SBKP,2021-09-01T00:00:00Z,4347,4347,26918.900000000085,17834.70000000014,9317.899999999996,2.143524269611225
SBKP,2021-10-01T00:00:00Z,4561,4561,28382.099999999937,18688.700000000143,9957.36000000001,2.1831528173646153
SBKP,2021-11-01T00:00:00Z,4516,4516,27637.799999999967,18305.00000000032,9642.230000000029,2.135126217891946
SBKP,2021-12-01T00:00:00Z,4614,4614,29178.99999999997,18740.900000000194,10741.060000000029,2.327928045080197
SBKP,2022-01-01T00:00:00Z,3816,3816,23036.099999999962,14917.100000000095,8448.92000000001,2.2140775681341744
SBKP,2022-02-01T00:00:00Z,4127,4127,24909.699999999997,16509.3000000001,8840.720000000016,2.1421662224376097
SBKP,2022-03-01T00:00:00Z,4738,4738,28636.700000000037,18562.300000000236,10512.939999999982,2.2188560574081855
SBKP,2022-04-01T00:00:00Z,4975,4975,31387.800000000057,20029.300000000316,11809.439999999973,2.3737567839195926
SBKP,2022-05-01T00:00:00Z,5473,5473,34660.89999999996,21217.000000000175,13881.75999999997,2.53640782020829
SBKP,2022-06-01T00:00:00Z,4821,4821,30486.39999999996,19311.00000000024,11635.399999999985,2.4134826799419176
SBKP,2022-07-01T00:00:00Z,2,2,11,9,2.11,1.055
SBPA,2019-01-01T00:00:00Z,2798,2798,13353.200000000006,7552.49999999995,6196.050000000014,2.2144567548248797
SBPA,2019-02-01T00:00:00Z,2634,2634,13519.700000000012,7437.299999999958,6503.490000000007,2.4690546697038753
SBPA,2019-03-01T00:00:00Z,2645,2645,12552.300000000005,7295.299999999971,5692.600000000007,2.1522117202268456
SBPA,2019-04-01T00:00:00Z,2594,2594,13420.400000000001,7603.399999999967,6270.27,2.4172205088666154
SBPA,2019-05-01T00:00:00Z,2581,2581,14108.800000000003,7822.599999999996,6544.299999999999,2.5355676094537
SBPA,2019-06-01T00:00:00Z,2514,2514,11933.899999999992,6977.600000000045,5245.979999999993,2.0867064439140783
SBPA,2019-07-01T00:00:00Z,1478,1478,6457.899999999995,3686.200000000001,2989.050000000002,2.0223612990527755
SBPA,2019-08-01T00:00:00Z,2886,2886,16684.30000000002,7876.200000000024,9295.970000000012,3.2210568260568304
SBPA,2019-09-01T00:00:00Z,2768,2768,13101.400000000003,7835.500000000101,5749.410000000015,2.077098988439312
SBPA,2019-10-01T00:00:00Z,2892,2892,16092.100000000006,7939.10000000005,8665.920000000022,2.996514522821584
SBPA,2019-11-01T00:00:00Z,2764,2764,11699.500000000004,7724.300000000088,4403.600000000009,1.5931982633863997
SBPA,2019-12-01T00:00:00Z,3020,3020,14839.60000000001,7797.000000000068,7467.279999999994,2.472609271523177
SBPA,2020-01-01T00:00:00Z,2935,2935,18084.19999999999,7658.2000000000635,10962.179999999997,3.734984667802384
SBPA,2020-02-01T00:00:00Z,2581,2581,9802.700000000004,6916.600000000023,3396.0199999999986,1.3157768306857802
SBPA,2020-03-01T00:00:00Z,1914,1914,7620.900000000014,5381.700000000009,2651.980000000003,1.3855694879832827
SBPA,2020-04-01T00:00:00Z,302,302,1177.6000000000004,732.1999999999994,470.65999999999974,1.558476821192052
SBPA,2020-05-01T00:00:00Z,157,157,551.8000000000001,379.50000000000045,189.22,1.2052229299363058
SBPA,2020-06-01T00:00:00Z,226,226,889.6999999999996,583.4000000000002,325.22999999999996,1.4390707964601768
SBPA,2020-07-01T00:00:00Z,357,357,1241.2000000000005,890.3999999999992,391.14000000000027,1.0956302521008412
SBPA,2020-08-01T00:00:00Z,398,398,1523.6000000000006,1081.1000000000024,468.58000000000004,1.1773366834170855
SBPA,2020-09-01T00:00:00Z,640,640,2344.800000000001,1708.2999999999984,701.7199999999991,1.0964374999999986
SBPA,2020-10-01T00:00:00Z,1075,1075,4100.899999999994,2931.4999999999955,1269.1599999999976,1.18061395348837
SBPA,2020-11-01T00:00:00Z,1402,1402,5537.400000000002,4000.8999999999787,1668.2000000000005,1.189871611982882
SBPA,2020-12-01T00:00:00Z,1703,1703,6876.300000000004,4711.8999999999805,2280.6900000000005,1.33921902524956
SBPA,2021-01-01T00:00:00Z,1781,1781,6905.000000000004,4794.0999999999995,2275.6599999999976,1.277742841100504
SBPA,2021-02-01T00:00:00Z,1316,1316,4568.000000000002,3317.0999999999904,1360.0799999999992,1.0334954407294827
SBPA,2021-03-01T00:00:00Z,1035,1035,3795.700000000006,2685.0999999999963,1185.7700000000013,1.1456714975845423
SBPA,2021-04-01T00:00:00Z,687,687,2684.0999999999985,1859.3999999999967,882.9299999999986,1.2851965065502162
SBPA,2021-05-01T00:00:00Z,930,930,3300.700000000003,2231.7999999999984,1138.5800000000004,1.2242795698924736
SBPA,2021-06-01T00:00:00Z,1265,1265,4916.400000000004,3196.199999999994,1803.6699999999992,1.4258260869565211
SBPA,2021-07-01T00:00:00Z,1662,1662,6480.89999999999,4203.1999999999825,2406.2999999999997,1.4478339350180505
SBPA,2021-08-01T00:00:00Z,1822,1822,7455.499999999982,5232.59999999999,2382.409999999999,1.30757958287596
SBPA,2021-09-01T00:00:00Z,1798,1798,7001.300000000003,4769.19999999998,2366.480000000001,1.3161735261401561
SBPA,2021-10-01T00:00:00Z,1826,1826,6940.7999999999975,5050.599999999991,2026.2299999999952,1.1096549835706435
SBPA,2021-11-01T00:00:00Z,2214,2214,8765.099999999993,6063.900000000011,2872.380000000003,1.2973712737127383
SBPA,2021-12-01T00:00:00Z,2423,2423,9832.500000000005,7066.199999999999,2954.700000000004,1.2194387123400758
SBPA,2022-01-01T00:00:00Z,2229,2229,8857.600000000004,6138.5999999999995,2913.9699999999984,1.3072992373261545
SBPA,2022-02-01T00:00:00Z,1798,1798,6733.600000000016,4836.299999999988,2050.599999999998,1.1404894327030022
SBPA,2022-03-01T00:00:00Z,2090,2090,7813.89999999999,5449.099999999978,2520.959999999996,1.2062009569377972
SBPA,2022-04-01T00:00:00Z,2206,2206,8752.900000000003,6128.800000000009,2790.870000000003,1.265126926563918
SBPA,2022-05-01T00:00:00Z,2466,2466,9957.699999999986,6477.800000000027,3623.0999999999976,1.469221411192213
SBPA,2022-06-01T00:00:00Z,2300,2300,9233.300000000016,6010.799999999999,3323.94,1.4451913043478262
SBRJ,2019-01-01T00:00:00Z,3704,3704,15371.599999999997,8955.199999999997,6879.120000000001,1.8572138228941686
SBRJ,2019-02-01T00:00:00Z,3373,3373,14257.4,8178.100000000046,6488.880000000019,1.9237711236288229
SBRJ,2019-03-01T00:00:00Z,3562,3562,15108.500000000033,8698.400000000005,6829.050000000019,1.9171953958450363
SBRJ,2019-04-01T00:00:00Z,3605,3605,15485.999999999933,8860.8,7049.0999999999995,1.9553675450762829
SBRJ,2019-05-01T00:00:00Z,3655,3655,14774.59999999995,9014.199999999992,6182.329999999993,1.691471956224348
SBRJ,2019-06-01T00:00:00Z,3289,3289,11751.700000000024,8247.500000000038,3945.5699999999997,1.1996260261477651
SBRJ,2019-07-01T00:00:00Z,1851,1851,6537.200000000007,4640.70000000002,2127.199999999998,1.1492166396542398
SBRJ,2019-08-01T00:00:00Z,2851,2851,16329.800000000037,7009.700000000028,9709.219999999994,3.4055489301999278
SBRJ,2019-09-01T00:00:00Z,1574,1574,5224.500000000004,3484.800000000016,1916.1799999999973,1.2173951715374824
