FIR,ano,mes,dia,mov
BRASIL,2017,9,7,5249
BRASIL,2017,9,8,3945
BRASIL,2017,9,9,3497
BRASIL,2017,9,10,4893
BRASIL,2017,9,11,5082
BRASIL,2017,9,12,4734
BRASIL,2017,9,13,5147
BRASIL,2017,9,14,5135
BRASIL,2017,9,15,5430
BRASIL,2017,9,16,4252
BRASIL,2017,9,17,3919
BRASIL,2017,9,18,5039
BRASIL,2017,9,19,5071
BRASIL,2017,9,20,5183
BRASIL,2017,9,21,5450
BRASIL,2017,9,22,5582
BRASIL,2017,9,23,4408
BRASIL,2017,9,24,4100
BRASIL,2017,9,25,4961
BRASIL,2017,9,26,5014
BRASIL,2017,9,27,5129
BRASIL,2017,9,28,5553
BRASIL,2017,9,29,4979
BRASIL,2017,9,30,3722
BRASIL,2017,10,1,3847
BRASIL,2017,10,2,4459
BRASIL,2017,10,3,4593
BRASIL,2017,10,4,5098
BRASIL,2017,10,5,5484
BRASIL,2017,10,6,5518
BRASIL,2017,10,7,4117
BRASIL,2017,10,8,3872
BRASIL,2017,10,9,4812
BRASIL,2017,10,10,4928
BRASIL,2017,10,11,5514
BRASIL,2017,10,12,4946
BRASIL,2017,10,13,3790
BRASIL,2017,10,14,3587
BRASIL,2017,10,15,4641
BRASIL,2017,10,16,5031
BRASIL,2017,10,17,5085
BRASIL,2017,10,18,5115
BRASIL,2017,10,19,5144
BRASIL,2017,10,20,5533
BRASIL,2017,10,21,3939
BRASIL,2017,10,22,3660
BRASIL,2017,10,23,4695
BRASIL,2017,10,24,4930
BRASIL,2017,10,25,4739
BRASIL,2017,10,26,4835
BRASIL,2017,10,27,5156
BRASIL,2017,10,28,4069
BRASIL,2017,10,29,3747
BRASIL,2017,10,30,4530
BRASIL,2017,10,31,4720
BRASIL,2017,11,1,5413
BRASIL,2017,11,2,4666
BRASIL,2017,11,3,3864
BRASIL,2017,11,4,3278
BRASIL,2017,11,5,4086
BRASIL,2017,11,6,4737
BRASIL,2017,11,7,4911
BRASIL,2017,11,8,4713
BRASIL,2017,11,9,5073
BRASIL,2017,11,10,4979
BRASIL,2017,11,11,3947
BRASIL,2017,11,12,3998
BRASIL,2017,11,13,4926
BRASIL,2017,11,14,5307
BRASIL,2017,11,15,4702
BRASIL,2017,11,16,4849
BRASIL,2017,11,17,5000
BRASIL,2017,11,18,3848
BRASIL,2017,11,19,3728
BRASIL,2017,11,20,4596
BRASIL,2017,11,21,4593
BRASIL,2017,11,22,4721
BRASIL,2017,11,23,5122
BRASIL,2017,11,24,5357
BRASIL,2017,11,25,4239
BRASIL,2017,11,26,3720
BRASIL,2017,11,27,4342
BRASIL,2017,11,28,4944
BRASIL,2017,11,29,5138
BRASIL,2017,11,30,4997
BRASIL,2017,12,1,4988
BRASIL,2017,12,2,3957
BRASIL,2017,12,3,3807
BRASIL,2017,12,4,4803
BRASIL,2017,12,5,5098
BRASIL,2017,12,6,5165
BRASIL,2017,12,7,5189
BRASIL,2017,12,8,5262
BRASIL,2017,12,9,4071
BRASIL,2017,12,10,4006
BRASIL,2017,12,11,5053
BRASIL,2017,12,12,4891
BRASIL,2017,12,13,5203
BRASIL,2017,12,14,5379
BRASIL,2017,12,15,5387
BRASIL,2017,12,16,4486
BRASIL,2017,12,17,4153
BRASIL,2017,12,18,4920
BRASIL,2017,12,19,4999
BRASIL,2017,12,20,5139
BRASIL,2017,12,21,5226
BRASIL,2017,12,22,5375
BRASIL,2017,12,23,4198
